ClientId,distance,risk_score,risk_level,reason,anomaly,high_amount_flag,high_variance_flag,high_frequency_flag,total_amount,avg_transaction,total_transactions,suspicious
423771,5.976388961270425,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,14.894889669168867,11.716843654066707,24,True
339747,10.575592290697772,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.784944783478934,7.684333221273115,3298,True
454677,4.798950178578612,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.018671627922995,8.602122769632398,612,True
382688,5.574723770310773,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.305972771802212,7.78075033430587,1855,True
375643,4.083467812154921,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.193633095498933,12.708729218170856,12,True
424589,4.126260455713761,4,HIGH,"Anomalous behavior, High transaction variance, High transaction frequency",True,False,True,True,13.574966491969898,11.629063974022582,7,True
424639,6.734930343335942,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,14.93811762229526,11.382780625211103,35,True
382431,3.864229340850135,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.967142315455863,13.704463540089277,71,True
541550,6.413607425910704,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.120034728504185,8.126397144608628,1090,True
598329,4.007840656296507,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,15.412890998361702,11.150225290014026,71,True
708900,5.047069632156446,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.768683761481267,13.200607696823587,712,True
708752,5.193320099965026,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,20.04026258592394,13.567917570239969,647,True
710232,4.4179586762565854,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.042875143800728,10.98244883711268,58,True
708562,4.67542142575636,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.48854933393832,11.923290987742588,710,True
708626,8.268168582526386,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.551778720346846,9.28401297508484,194,True
709762,10.727138802460324,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,20.293414456993258,12.267902768673112,3058,True
710080,4.268971482878563,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.27332710087361,10.9616096145596,551,True
552312,3.8992844839224983,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.091696417799582,10.845609103631803,516,True
710802,10.401157176227885,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.537489334191495,11.534470450928572,2990,True
709651,4.428713917892872,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.330267227261107,11.986393010425118,569,True
711674,7.48677216417813,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.499029711301066,10.047250753103347,1723,True
711705,4.365477694040362,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.688279567332692,9.257043769886428,621,True
709962,4.832863472780424,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.894277075605526,7.9025501570894106,1088,True
710711,5.2712098101326585,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.355575754016588,12.291676378461942,1169,True
711322,7.270345285310229,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.001688506146955,11.371724309624753,2059,True
711457,5.120526766813267,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.771206842414855,10.610385575422045,1288,True
711635,5.408980568529104,4,HIGH,"Anomalous behavior, High transaction variance, High transaction frequency",True,False,True,True,14.04611405456544,11.84889582924601,9,True
711771,4.6060780230986955,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.21477735558107,10.573620733408916,766,True
713048,4.459018760188058,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.826652127797804,7.595867404902313,1382,True
711645,4.805051234786268,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.805897837453674,9.7067569137353,1211,True
711813,4.76266568644804,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.136537958465077,10.191524343317923,1038,True
712813,3.9206969097720106,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.092066445248287,7.800138735807651,1469,True
713931,4.254110788868789,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.073481714557492,8.561927350631125,673,True
714518,4.398150837632003,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.14185109674015,9.600888668926352,693,True
713432,7.4977878649692125,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.190759745108934,7.362161968367013,2513,True
713593,4.44398395572892,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.927807007445802,8.478516789298823,1719,True
715170,9.305892697861003,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.408054083285894,8.494371915782146,2735,True
715740,4.843880754036119,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.379597070591185,10.294566565217687,1194,True
714482,5.238114762946269,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.17946369142944,8.912770913356843,1432,True
715032,11.382335380001855,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.62138204921939,7.512703177272272,3325,True
711368,4.675400422141905,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.951828157602513,11.407927402507195,695,True
712247,5.012577301889224,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.795255306997426,13.081086858770304,824,True
717912,14.824519426639705,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,15.338243737297793,12.565658286776523,16,True
717338,6.289804144263548,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.845271036624366,11.849545547804508,20,True
718878,9.216631271678732,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.724754491372432,6.753111144092619,2901,True
718337,4.336680312792905,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,14.77204700057908,12.287144577217072,12,True
719413,3.9162593228785494,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,18.392166634053698,12.378455675876287,409,True
719448,4.0166840144738885,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,16.42789720883418,10.88665229616524,255,True
719548,4.308379784633544,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.908468674514598,11.624343442107854,536,True
719928,4.385489616932471,4,HIGH,"Anomalous behavior, High transaction variance, High transaction frequency",True,False,True,True,13.946555486898458,11.643978288478515,10,True
719044,3.896196135791389,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.158346433986235,12.18708967668221,392,True
719074,18.678422365939703,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.67677843031356,6.081214753411516,5420,True
723104,4.5206912731198265,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,17.31825132470205,11.776995428520975,255,True
719465,4.442587579894152,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.664545510028134,10.167808846924572,663,True
720966,4.385802728896416,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.910612538587417,9.252697220005931,779,True
723234,8.095251163207145,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,20.020172999094378,12.335853320812774,2174,True
723602,4.056671335355284,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,16.91576702075262,10.813228511400824,447,True
723634,3.983993554665756,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,17.78697693439498,11.640656458759693,467,True
720543,4.722996931001864,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.609062079828213,10.016062158954242,730,True
729968,4.974567516904189,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.911721432210127,7.720735392722162,1328,True
668014,6.915194522021775,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,14.60963410784152,12.211743354624115,11,True
722281,4.549662840232779,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.126406020967035,8.159724589757378,1061,True
724624,12.073786640130846,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.79857879727702,11.651009768722414,3455,True
730129,4.282409987487756,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,16.43733367807269,10.99927101049951,230,True
721500,3.986210632742082,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.80728014543047,11.544609819246025,71,True
676236,11.795437923799348,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.92809702482301,8.734028696777058,3620,True
721563,3.8665441901134043,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,16.641090571553477,12.633760587126298,55,True
720137,4.375015910388361,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.63250497886913,9.077262156651315,703,True
721426,4.7215171297511125,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.951832125084826,8.937149079198589,1113,True
728716,5.106636473183462,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.17980172540364,11.067489879385747,1227,True
578587,3.929869010177856,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,14.976898564945632,12.897459214622927,8,True
599311,4.470537446410222,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.392437448040255,10.91511860739666,88,True
725142,4.790786872228551,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.622934135299133,8.581709824814274,1143,True
726381,4.892097778415604,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.169961802249894,12.249295081484235,1013,True
724544,4.007990964769224,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.407857785101015,8.019858619445973,1617,True
745331,5.058281659225003,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.771949567804626,8.560584215951172,1355,True
734280,6.006697130889084,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.929434703018218,8.592032427559834,1537,True
729388,4.767444354396205,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.69938114744389,10.83350977843952,959,True
730191,4.590342071934378,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,18.365721690873855,12.183641886519304,484,True
730440,5.000168109575768,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,17.80731500013768,10.713102386238294,1205,True
728924,4.099183778056322,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.615840945071323,7.370814979864461,1402,True
725812,5.02634362147862,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.861646198094224,12.12824970418475,840,True
709870,4.16369069079888,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.255004208408714,13.241290823750704,409,True
710538,4.685664864771894,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,18.69800001886079,12.11459626760685,723,True
710805,5.011135837453942,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.108632714269316,8.918844288756722,1326,True
750832,4.455643947730296,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.611263820209333,7.644774836910416,1061,True
751046,5.312641764508283,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.630694022947452,7.3329023535124795,1478,True
723649,3.926283003629638,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,16.926245837581945,11.81426540221603,166,True
724534,6.231888513317714,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.58831329895824,6.896754693804923,2192,True
691701,6.203105562365535,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.6695861560782,7.011316326567994,2120,True
722034,4.636305736810356,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.77026995583506,10.936178999768703,929,True
729731,5.700853979683074,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.688687173787336,10.3478836587573,1542,True
730150,5.169238622552914,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.284599090315467,7.765330715116187,1844,True
734377,4.850906289087937,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.90522597711114,9.82105380401803,1193,True
734779,4.1849246853867434,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.89503423377101,12.461050778795858,31,True
726077,4.4851917869432905,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.25763206493116,10.816705552400864,627,True
722638,4.931166475276468,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,18.08316141552181,11.101241817261181,1077,True
722869,5.414549804787229,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.361146620785027,8.039619154811415,1513,True
756479,4.353548695640974,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.361394083508463,8.497794405765042,957,True
